date,AQI,quality,PM2.5,PM10,SO2,CO,NO2,O3_8h
2018-01-01,57,¡º,34,63,9,1,44,38
2018-01-02,50,”≈,28,50,7,0.8,33,46
2018-01-03,28,”≈,11,28,5,0.4,21,51
2018-01-04,40,”≈,15,30,4,0.5,32,39
2018-01-05,63,¡º,32,54,8,0.9,50,36
2018-01-06,48,”≈,16,30,5,0.5,38,48
2018-01-07,54,¡º,38,57,10,0.8,43,50
2018-01-08,55,¡º,12,60,4,0.3,11,61
2018-01-09,35,”≈,7,35,3,0.3,13,63
2018-01-10,32,”≈,6,21,3,0.3,9,63
2018-01-11,32,”≈,13,25,5,0.5,25,55
2018-01-12,87,¡º,61,81,11,1.3,69,21
2018-01-13,139,«·∂»Œ€»æ,106,122,15,1.7,79,17
2018-01-14,176,÷–∂»Œ€»æ,133,137,12,1.7,71,41
2018-01-15,59,¡º,32,58,8,0.9,47,42
2018-01-16,114,«·∂»Œ€»æ,45,177,5,0.7,42,55
2018-01-17,77,¡º,42,104,8,1,49,62
2018-01-18,93,¡º,63,105,11,1.2,74,19
2018-01-19,108,«·∂»Œ€»æ,81,122,13,1.5,73,36
2018-01-20,63,¡º,31,75,9,0.8,48,32
2018-01-21,64,¡º,37,77,19,1.2,44,29
2018-01-22,47,”≈,22,47,4,0.6,25,65
2018-01-23,32,”≈,11,32,4,0.4,15,60
2018-01-24,35,”≈,17,33,5,0.4,28,65
2018-01-25,33,”≈,9,23,4,0.4,26,62
2018-01-26,53,¡º,29,41,8,0.6,42,42
2018-01-27,112,«·∂»Œ€»æ,84,95,14,1.4,67,14
2018-01-28,59,¡º,11,67,3,0.4,15,66
2018-01-29,56,¡º,8,61,3,0.4,20,67
2018-01-30,36,”≈,11,36,6,0.4,24,68
2018-01-31,62,¡º,22,74,7,0.5,29,65
2018-02-01,68,¡º,30,85,10,0.7,36,64
2018-02-02,34,”≈,8,30,5,0.3,11,68
2018-02-03,32,”≈,8,21,5,0.4,20,64
2018-02-04,40,”≈,19,36,8,0.5,32,55
2018-02-05,34,”≈,7,18,3,0.3,15,67
2018-02-06,65,¡º,47,61,13,0.9,51,43
2018-02-07,51,¡º,33,52,8,0.6,31,76
2018-02-08,73,¡º,53,76,12,0.9,53,49
2018-02-09,80,¡º,40,109,8,0.7,32,74
2018-02-10,44,”≈,10,44,3,0.3,12,74
2018-02-11,67,¡º,9,84,2,0.3,6,73
2018-02-12,53,¡º,12,56,4,0.4,15,73
2018-02-13,79,¡º,58,79,13,1.1,57,50
2018-02-14,37,”≈,13,33,3,0.4,18,74
2018-02-15,73,¡º,53,66,10,0.5,22,80
2018-02-16,107,«·∂»Œ€»æ,80,101,14,0.6,24,85
2018-02-17,109,«·∂»Œ€»æ,82,92,10,1.3,35,49
2018-02-18,152,÷–∂»Œ€»æ,116,109,14,1.7,46,80
2018-02-19,188,÷–∂»Œ€»æ,141,131,24,2,42,69
2018-02-20,63,¡º,45,42,6,0.7,21,85
2018-02-21,48,”≈,33,43,6,0.6,26,81
2018-02-22,45,”≈,18,45,6,0.5,29,77
2018-02-23,52,¡º,23,54,6,0.6,29,79
2018-02-24,62,¡º,30,74,10,0.6,21,65
2018-02-25,82,¡º,60,71,10,0.8,43,66
2018-02-26,162,÷–∂»Œ€»æ,123,121,21,1.5,69,86
2018-02-27,218,÷ÿ∂»Œ€»æ,168,170,12,1.8,51,66
2018-02-28,115,«·∂»Œ€»æ,87,116,9,1,34,74
2018-03-01,50,”≈,17,50,4,0.3,17,80
2018-03-02,103,«·∂»Œ€»æ,77,103,18,1,51,65
2018-03-03,215,÷ÿ∂»Œ€»æ,165,189,18,1.8,72,52
2018-03-04,124,«·∂»Œ€»æ,57,198,7,0.8,35,46
2018-03-05,90,¡º,48,130,9,0.8,41,65
2018-03-06,64,¡º,46,65,10,0.9,38,64
2018-03-07,65,¡º,47,64,8,0.7,47,44
2018-03-08,61,¡º,43,72,6,0.7,34,70
2018-03-09,135,«·∂»Œ€»æ,103,106,12,1.2,66,73
2018-03-10,153,÷–∂»Œ€»æ,117,125,14,1.4,58,101
2018-03-11,84,¡º,62,69,16,1.3,45,59
2018-03-12,189,÷–∂»Œ€»æ,142,137,10,1.6,69,84
2018-03-13,283,÷ÿ∂»Œ€»æ,233,189,10,2,92,139
2018-03-14,276,÷ÿ∂»Œ€»æ,226,176,16,2.4,73,78
2018-03-15,61,¡º,20,72,3,0.4,16,87
2018-03-16,55,¡º,32,60,7,0.5,28,87
2018-03-17,83,¡º,61,60,4,0.9,57,27
2018-03-18,135,«·∂»Œ€»æ,103,71,3,0.9,51,81
2018-03-19,93,¡º,69,59,4,0.8,43,88
2018-03-20,40,”≈,23,39,4,0.5,32,80
2018-03-21,79,¡º,58,82,8,0.8,51,68
2018-03-22,110,«·∂»Œ€»æ,83,100,7,0.9,61,88
2018-03-23,138,«·∂»Œ€»æ,105,126,10,1.3,82,59
