date,AQI,quality,PM2.5,PM10,SO2,CO,NO2,O3_8h
2018-01-01,65,良,47,63,6,0.7,14,91
2018-01-02,56,良,35,61,5,0.6,9,83
2018-01-03,54,良,22,58,5,0.5,10,70
2018-01-04,40,优,18,40,5,0.4,14,62
2018-01-05,18,优,12,18,4,0.5,14,36
2018-01-06,25,优,8,12,4,0.6,20,32
2018-01-07,35,优,7,16,4,0.7,28,26
2018-01-08,23,优,14,23,4,0.6,16,20
2018-01-09,25,优,16,25,5,0.8,11,43
2018-01-10,40,优,27,40,8,0.6,13,57
2018-01-11,42,优,16,34,7,0.4,12,84
2018-01-12,47,优,17,41,7,0.4,10,94
2018-01-13,46,优,20,46,6,0.4,9,92
2018-01-14,46,优,20,46,5,0.4,9,81
2018-01-15,42,优,18,39,5,0.4,12,84
2018-01-16,45,优,22,40,6,0.5,16,90
2018-01-17,60,良,36,50,7,0.5,20,111
2018-01-18,69,良,40,52,6,0.5,26,122
2018-01-19,46,优,32,46,6,0.5,14,77
2018-01-20,43,优,24,43,4,0.5,15,49
2018-01-21,46,优,24,46,4,0.5,12,58
2018-01-22,49,优,34,48,5,0.6,13,76
2018-01-23,52,良,36,50,6,0.6,10,90
2018-01-24,48,优,20,48,4,0.5,9,80
2018-01-25,52,良,22,53,4,0.6,10,63
2018-01-26,41,优,17,41,4,0.5,9,66
2018-01-27,26,优,12,26,4,0.5,10,45
2018-01-28,26,优,18,22,4,0.6,17,39
2018-01-29,20,优,9,15,4,0.8,12,31
2018-01-30,23,优,16,17,4,0.7,13,24
2018-01-31,25,优,17,19,6,0.8,12,46
2018-02-01,64,良,46,51,8,0.6,9,90
2018-02-02,63,良,45,57,9,0.7,14,68
2018-02-03,52,良,36,53,9,0.6,9,94
2018-02-04,59,良,42,64,9,0.5,10,108
2018-02-05,68,良,49,75,11,0.6,12,90
2018-02-06,56,良,35,53,9,0.4,12,107
2018-02-07,55,良,39,53,8,0.6,19,74
2018-02-08,60,良,43,59,10,0.5,14,78
2018-02-09,63,良,45,62,5,0.6,28,80
2018-02-10,67,良,48,64,5,0.6,18,82
2018-02-11,64,良,46,62,6,0.7,11,73
2018-02-12,72,良,52,68,6,0.7,10,103
2018-02-13,68,良,41,70,7,0.6,19,121
2018-02-14,58,良,32,66,4,0.5,21,85
2018-02-15,50,优,30,50,5,0.4,12,58
2018-02-16,77,良,56,76,10,0.4,8,49
2018-02-17,36,优,25,36,4,0.4,7,46
2018-02-18,54,良,28,58,4,0.4,8,57
2018-02-19,42,优,24,42,4,0.4,7,52
2018-02-20,26,优,16,26,4,0.4,11,42
2018-02-21,25,优,17,24,4,0.4,10,36
2018-02-22,26,优,14,26,4,0.6,12,39
2018-02-23,20,优,4,8,4,0.8,11,21
2018-02-24,35,优,18,35,4,0.7,17,57
2018-02-25,52,良,36,47,5,0.7,13,73
2018-02-26,31,优,16,31,4,0.7,10,56
2018-02-27,36,优,13,36,4,0.6,10,50
2018-02-28,50,优,23,50,4,0.6,13,56
2018-03-01,29,优,15,29,4,0.5,13,38
2018-03-02,24,优,14,24,4,0.4,9,25
2018-03-03,26,优,18,26,4,0.4,8,42
2018-03-04,25,优,13,25,4,0.4,12,28
2018-03-05,28,优,14,28,4,0.4,15,46
2018-03-06,21,优,11,21,4,0.4,8,26
2018-03-07,29,优,14,29,4,0.5,8,34
2018-03-08,19,优,10,19,4,0.6,12,28
2018-03-09,48,优,14,34,5,0.5,9,95
2018-03-10,49,优,18,34,4,0.4,9,97
2018-03-11,43,优,19,38,4,0.4,11,85
2018-03-12,38,优,17,38,4,0.4,10,76
2018-03-13,35,优,18,35,4,0.5,16,56
2018-03-14,28,优,15,27,4,0.5,22,32
2018-03-15,34,优,19,31,4,0.5,19,68
2018-03-16,30,优,18,30,4,0.5,12,50
2018-03-17,28,优,14,28,4,0.5,10,55
2018-03-18,31,优,15,31,4,0.5,10,58
2018-03-19,34,优,20,34,4,0.5,17,56
2018-03-20,42,优,14,24,5,0.6,11,84
2018-03-21,47,优,12,26,5,0.7,8,93
2018-03-22,75,良,28,47,7,0.7,16,130
2018-03-23,52,良,19,53,4,0.5,10,96
2018-03-24,55,良,22,60,4,0.5,12,82
2018-03-25,52,良,19,53,4,0.5,9,66
2018-03-26,51,良,26,52,4,0.5,10,79
2018-03-27,50,优,25,50,4,0.5,10,69
2018-03-28,51,良,30,52,5,0.6,14,91
2018-03-29,39,优,26,39,4,0.6,12,66
2018-03-30,34,优,18,34,4,0.5,9,58
2018-03-31,40,优,19,40,4,0.5,10,74
2018-04-01,39,优,18,39,4,0.5,9,60
2018-04-02,49,优,25,46,5,0.6,14,98
2018-04-03,44,优,24,44,4,0.5,12,68
2018-04-04,38,优,17,38,4,0.5,11,48
2018-04-05,36,优,18,36,5,0.5,10,48
2018-04-06,35,优,18,35,4,0.6,9,38
2018-04-07,64,良,19,77,6,0.6,9,68
2018-04-08,80,良,37,109,8,0.6,12,127
2018-04-09,63,良,31,75,4,0.6,11,94
2018-04-10,44,优,20,44,4,0.6,10,57
2018-04-11,32,优,17,32,4,0.5,9,48
2018-04-12,29,优,16,29,4,0.4,9,45
2018-04-13,30,优,16,30,4,0.4,10,49
2018-04-14,28,优,14,28,4,0.4,12,36
2018-04-15,16,优,8,16,4,0.6,10,31
2018-04-16,24,优,14,24,4,0.8,10,41
2018-04-17,48,优,22,48,4,0.7,9,91
2018-04-18,38,优,21,36,4,0.7,10,75
2018-04-19,31,优,15,31,4,0.6,9,55
2018-04-20,32,优,14,32,4,0.6,9,46
2018-04-21,31,优,13,31,4,0.5,8,38
2018-04-22,28,优,13,28,4,0.5,9,47
2018-04-23,35,优,19,35,5,0.5,14,53
2018-04-24,36,优,20,36,6,0.6,15,49
2018-04-25,22,优,15,22,4,0.6,14,44
2018-04-26,25,优,12,24,4,0.6,16,50
2018-04-27,28,优,16,28,4,0.6,11,52
2018-04-28,29,优,17,29,4,0.6,10,51
2018-04-29,29,优,14,29,4,0.6,14,41
2018-04-30,23,优,13,22,4,0.5,18,28
2018-05-01,23,优,12,22,4,0.5,14,46
2018-05-02,26,优,14,26,4,0.5,14,38
2018-05-03,21,优,13,21,4,0.4,11,22
2018-05-04,24,优,13,24,5,0.5,12,25
2018-05-05,26,优,11,26,4,0.5,12,36
