date,AQI,quality,PM2.5,PM10,SO2,CO,NO2,O3_8h
2018-01-01,123,«·∂»Œ€»æ,93,95,13,1.1,63,72
2018-01-02,54,¡º,27,38,10,0.7,43,62
2018-01-03,38,”≈,21,31,7,0.6,26,76
2018-01-04,34,”≈,8,8,6,0.5,27,56
2018-01-05,48,”≈,26,30,8,0.8,38,54
2018-01-06,79,¡º,58,60,11,1,54,49
2018-01-07,60,¡º,21,17,8,1,48,44
2018-01-08,124,«·∂»Œ€»æ,94,87,12,1.3,47,65
2018-01-09,57,¡º,28,56,13,0.8,45,62
2018-01-10,67,¡º,34,73,16,0.8,53,55
2018-01-11,70,¡º,45,74,21,0.9,56,54
2018-01-12,68,¡º,33,55,18,0.9,54,43
2018-01-13,102,«·∂»Œ€»æ,52,71,19,1.1,83,33
2018-01-14,77,¡º,31,43,13,0.7,61,60
2018-01-15,90,¡º,37,45,15,0.9,72,47
2018-01-16,94,¡º,70,69,11,0.9,70,25
2018-01-17,133,«·∂»Œ€»æ,101,88,11,1.2,62,39
2018-01-18,104,«·∂»Œ€»æ,78,66,10,0.8,56,64
2018-01-19,160,÷–∂»Œ€»æ,122,127,14,1.1,74,55
2018-01-20,112,«·∂»Œ€»æ,84,99,14,1,71,57
2018-01-21,68,¡º,37,47,12,0.7,54,75
2018-01-22,80,¡º,49,55,10,0.9,64,57
2018-01-23,110,«·∂»Œ€»æ,83,82,9,0.9,36,61
2018-01-24,36,”≈,20,31,8,0.5,23,72
2018-01-25,39,”≈,11,12,6,0.5,31,58
2018-01-26,32,”≈,14,22,7,0.4,22,64
2018-01-27,48,”≈,16,22,7,0.5,38,51
2018-01-28,39,”≈,22,23,7,0.5,31,57
2018-01-29,128,«·∂»Œ€»æ,97,97,20,1.1,48,72
2018-01-30,241,÷ÿ∂»Œ€»æ,191,185,28,1.8,97,78
2018-01-31,224,÷ÿ∂»Œ€»æ,174,168,25,1.7,108,59
2018-02-01,163,÷–∂»Œ€»æ,124,119,24,1.5,87,75
2018-02-02,135,«·∂»Œ€»æ,103,111,24,1.2,83,81
2018-02-03,43,”≈,30,39,10,0.6,29,68
2018-02-04,52,¡º,36,48,15,0.7,39,71
2018-02-05,87,¡º,57,78,20,0.9,69,67
2018-02-06,59,¡º,30,42,13,0.7,47,64
2018-02-07,77,¡º,25,41,12,0.6,61,69
2018-02-08,112,«·∂»Œ€»æ,84,94,17,1.1,61,60
2018-02-09,83,¡º,61,61,13,0.9,64,69
2018-02-10,88,¡º,65,89,12,0.9,46,68
2018-02-11,95,¡º,43,140,14,0.8,44,81
2018-02-12,87,¡º,33,124,15,0.7,37,77
2018-02-13,60,¡º,32,61,13,0.7,48,105
2018-02-14,69,¡º,38,74,13,0.8,55,105
2018-02-15,52,¡º,33,53,10,0.6,29,81
2018-02-16,36,”≈,19,27,8,0.5,27,72
2018-02-17,60,¡º,36,47,11,0.6,28,111
2018-02-18,41,”≈,15,29,9,0.4,25,82
2018-02-19,46,”≈,22,24,8,0.5,24,91
2018-02-20,59,¡º,42,48,9,0.6,23,89
2018-02-21,49,”≈,34,46,9,0.6,24,89
2018-02-22,65,¡º,47,57,11,0.8,39,78
2018-02-23,68,¡º,49,46,10,0.7,34,101
2018-02-24,52,¡º,36,36,10,0.6,34,90
2018-02-25,46,”≈,32,40,9,0.6,29,90
2018-02-26,54,¡º,38,44,11,0.6,43,92
2018-02-27,67,¡º,37,44,11,0.5,28,120
2018-02-28,49,”≈,32,31,8,0.6,39,73
2018-03-01,89,¡º,66,67,11,0.8,44,101
2018-03-02,41,”≈,20,36,8,0.4,28,82
2018-03-03,47,”≈,28,25,8,0.6,37,71
2018-03-04,57,¡º,30,29,10,0.6,30,108
2018-03-05,44,”≈,17,35,8,0.4,22,87
2018-03-06,47,”≈,18,38,7,0.4,21,94
2018-03-07,43,”≈,20,27,8,0.4,34,72
2018-03-08,64,¡º,46,58,8,0.6,27,84
2018-03-09,55,¡º,38,49,11,0.6,44,74
2018-03-10,88,¡º,65,67,13,0.7,55,135
2018-03-11,82,¡º,60,56,11,0.6,53,122
2018-03-12,58,¡º,23,37,14,0.5,41,109
2018-03-13,57,¡º,22,37,14,0.5,38,108
2018-03-14,38,”≈,18,33,14,0.5,29,76
2018-03-15,77,¡º,40,43,12,0.7,61,42
2018-03-16,44,”≈,22,43,8,0.4,23,87
2018-03-17,46,”≈,17,37,7,0.4,25,92
2018-03-18,64,¡º,27,47,10,0.6,51,77
2018-03-19,43,”≈,27,30,8,0.5,34,72
2018-03-20,64,¡º,46,38,9,0.8,48,60
2018-03-21,60,¡º,29,29,8,0.7,48,48
2018-03-22,104,«·∂»Œ€»æ,78,78,14,0.9,67,92
2018-03-23,117,«·∂»Œ€»æ,88,87,14,0.8,61,127
2018-03-24,79,¡º,58,77,15,0.7,62,116
2018-03-25,92,¡º,68,79,14,0.6,47,142
2018-03-26,80,¡º,59,65,16,0.6,50,119
2018-03-27,78,¡º,57,57,14,0.6,48,124
2018-03-28,82,¡º,43,55,12,0.6,47,138
2018-03-29,54,¡º,24,44,9,0.5,43,80
2018-03-30,53,¡º,24,33,8,0.5,42,47
2018-03-31,63,¡º,30,51,9,0.5,34,115
2018-04-01,83,¡º,39,89,14,0.5,35,139
2018-04-02,78,¡º,42,106,15,0.6,55,63
2018-04-03,66,¡º,30,81,13,0.5,30,102
2018-04-04,47,”≈,29,47,8,0.5,31,76
2018-04-05,42,”≈,25,29,7,0.5,33,69
2018-04-06,0,Œﬁ,0,0,10,0.8,32,92
2018-04-07,63,¡º,23,76,11,0.5,35,100
2018-04-08,75,¡º,33,86,13,0.6,53,130
2018-04-09,80,¡º,37,89,14,0.6,56,135
2018-04-10,83,¡º,25,59,12,0.6,39,139
2018-04-11,98,¡º,52,145,17,0.8,63,135
2018-04-12,58,¡º,24,66,13,0.5,40,87
2018-04-13,48,”≈,19,47,10,0.5,35,96
2018-04-14,53,¡º,31,32,7,0.6,42,69
2018-04-15,83,¡º,53,102,12,0.7,43,139
2018-04-16,101,«·∂»Œ€»æ,21,152,11,0.5,51,80
2018-04-17,69,¡º,33,64,13,0.5,55,105
2018-04-18,97,¡º,41,68,12,0.5,48,156
2018-04-19,92,¡º,35,70,11,0.5,44,150
2018-04-20,63,¡º,24,64,9,0.4,25,115
2018-04-21,56,¡º,26,62,11,0.5,25,98
2018-04-22,68,¡º,28,51,12,0.6,36,121
2018-04-23,52,¡º,36,37,9,0.6,39,78
2018-04-24,48,”≈,22,28,7,0.5,31,96
2018-04-25,84,¡º,47,54,12,0.7,52,140
2018-04-26,74,¡º,28,43,14,0.5,59,87
2018-04-27,146,«·∂»Œ€»æ,75,90,17,0.8,60,210
2018-04-28,132,«·∂»Œ€»æ,100,117,16,0.8,59,194
2018-04-29,160,÷–∂»Œ€»æ,79,81,15,0.7,43,225
2018-04-30,143,«·∂»Œ€»æ,74,77,13,0.9,49,207
2018-05-01,76,¡º,45,48,10,0.8,53,131
2018-05-02,73,¡º,53,52,8,0.8,38,127
2018-05-03,105,«·∂»Œ€»æ,31,49,10,0.5,43,165
2018-05-04,125,«·∂»Œ€»æ,40,64,14,0.5,44,187
2018-05-05,63,¡º,24,39,9,0.4,35,115
2018-05-06,58,¡º,41,51,11,0.6,40,106
2018-05-07,43,”≈,29,33,8,0.6,31,85
2018-05-08,70,¡º,32,48,10,0.6,38,123
2018-05-09,73,¡º,30,54,9,0.5,33,127
2018-05-10,81,¡º,21,44,7,0.4,24,137
2018-05-11,80,¡º,20,48,9,0.4,25,135
2018-05-12,94,¡º,70,87,14,0.8,65,137
2018-05-13,95,¡º,71,52,10,0.9,41,137
2018-05-14,110,«·∂»Œ€»æ,52,52,10,0.7,30,170
2018-05-15,116,«·∂»Œ€»æ,47,60,14,0.6,28,177
2018-05-16,130,«·∂»Œ€»æ,39,60,15,0.6,33,193
2018-05-17,107,«·∂»Œ€»æ,35,57,13,0.6,41,167
2018-05-18,90,¡º,46,52,10,0.7,43,147
2018-05-19,44,”≈,27,23,6,0.5,27,88
2018-05-20,43,”≈,12,26,6,0.4,21,86
2018-05-21,39,”≈,19,34,7,0.4,26,77
2018-05-22,38,”≈,23,37,7,0.6,28,76
2018-05-23,88,¡º,32,106,11,0.6,32,145
2018-05-24,81,¡º,31,111,10,0.4,35,119
2018-05-25,45,”≈,23,43,7,0.5,36,89
2018-05-26,43,”≈,29,29,9,0.6,30,85
2018-05-27,49,”≈,34,41,9,0.5,38,76
2018-05-28,98,¡º,73,73,13,0.8,43,153
2018-05-29,132,«·∂»Œ€»æ,100,88,17,0.8,62,113
2018-05-30,107,«·∂»Œ€»æ,80,62,13,0.8,53,71
2018-05-31,79,¡º,48,47,10,0.6,54,134
2018-06-01,89,¡º,37,39,11,0.5,39,146
2018-06-02,89,¡º,32,38,11,0.5,30,146
2018-06-03,73,¡º,33,37,9,0.5,24,127
2018-06-04,73,¡º,35,47,10,0.5,35,127
2018-06-05,121,«·∂»Œ€»æ,79,71,11,0.8,58,183
2018-06-06,134,«·∂»Œ€»æ,51,45,11,0.6,28,197
2018-06-07,76,¡º,26,31,8,0.5,23,131
2018-06-08,53,¡º,23,29,10,0.5,30,103
2018-06-09,50,”≈,23,31,8,0.4,23,99
2018-06-10,67,¡º,40,47,9,0.6,34,120
2018-06-11,146,«·∂»Œ€»æ,57,60,10,0.8,39,210
2018-06-12,184,÷–∂»Œ€»æ,61,67,14,0.8,40,249
2018-06-13,150,«·∂»Œ€»æ,47,61,14,0.7,29,215
2018-06-14,76,¡º,28,34,8,0.5,19,131
2018-06-15,72,¡º,18,28,9,0.4,21,126
2018-06-16,51,¡º,22,39,8,0.4,16,101
2018-06-17,59,¡º,22,39,8,0.4,16,110
2018-06-18,62,¡º,19,31,7,0.4,14,114
2018-06-19,40,”≈,23,25,8,0.5,25,79
2018-06-20,45,”≈,13,14,7,0.4,27,90
2018-06-21,58,¡º,19,23,8,0.4,26,109
2018-06-22,42,”≈,23,27,7,0.4,26,84
2018-06-23,67,¡º,12,17,7,0.4,22,120
2018-06-24,54,¡º,19,23,6,0.4,20,104
2018-06-25,111,«·∂»Œ€»æ,36,39,9,0.6,28,172
2018-06-26,121,«·∂»Œ€»æ,39,53,12,0.6,33,183
2018-06-27,81,¡º,31,47,10,0.6,34,137
2018-06-28,60,¡º,29,44,10,0.6,41,112
2018-06-29,65,¡º,30,31,9,0.7,36,118
2018-06-30,38,”≈,18,24,9,0.5,30,59
2018-07-01,32,”≈,14,21,8,0.5,25,61
2018-07-02,27,”≈,14,27,7,0.4,18,50
2018-07-03,35,”≈,16,28,9,0.4,28,48
2018-07-04,67,¡º,36,40,11,0.5,34,120
2018-07-05,39,”≈,25,25,7,0.5,31,49
2018-07-06,34,”≈,14,20,8,0.5,27,55
2018-07-07,28,”≈,13,23,7,0.4,20,55
2018-07-08,79,¡º,25,42,8,0.4,22,134
2018-07-09,50,”≈,14,29,8,0.4,18,99
2018-07-10,27,”≈,10,27,7,0.3,13,49
2018-07-11,36,”≈,12,36,6,0.4,12,34
2018-07-12,34,”≈,9,27,5,0.4,12,67
2018-07-13,40,”≈,9,25,6,0.4,14,79
2018-07-14,46,”≈,9,25,7,0.4,15,92
2018-07-15,44,”≈,9,24,7,0.4,14,87
2018-07-16,37,”≈,8,21,6,0.3,13,73
2018-07-17,28,”≈,8,22,6,0.4,15,55
2018-07-18,33,”≈,8,22,6,0.3,13,65
2018-07-19,30,”≈,8,20,6,0.3,13,59
2018-07-20,38,”≈,23,38,9,0.3,16,70
2018-07-21,34,”≈,20,34,8,0.4,13,51
2018-07-22,20,”≈,9,15,5,0.3,10,39
2018-07-23,31,”≈,12,26,6,0.4,14,61
2018-07-24,108,«·∂»Œ€»æ,26,39,7,0.5,25,168
2018-07-25,122,«·∂»Œ€»æ,36,55,8,0.5,26,184
2018-07-26,65,¡º,35,53,8,0.7,52,114
2018-07-27,166,÷–∂»Œ€»æ,41,59,10,0.7,47,231
2018-07-28,124,«·∂»Œ€»æ,41,52,11,0.6,29,186
2018-07-29,84,¡º,41,51,11,0.6,29,140
2018-07-30,75,¡º,32,45,7,0.6,28,130
2018-07-31,45,”≈,19,32,9,0.5,26,90
2018-08-01,55,¡º,15,25,7,0.4,19,106
2018-08-02,43,”≈,18,30,7,0.4,15,85
2018-08-03,35,”≈,11,19,4,0.5,17,69
2018-08-04,68,¡º,19,34,5,0.5,16,121
2018-08-05,79,¡º,18,32,6,0.5,17,134
2018-08-06,80,¡º,19,33,6,0.5,20,135
2018-08-07,48,”≈,15,25,6,0.4,20,95
2018-08-08,57,¡º,20,30,6,0.4,20,108
2018-08-09,69,¡º,20,34,7,0.5,21,122
2018-08-10,85,¡º,27,40,7,0.5,27,142
